시점,응답자유형별(1),응답자유형별(2),있다,없다
2014,전체,소계,74.6,25.4
2014,성별,남자,74.4,25.6
2014,성별,여자,74.9,25.1
2014,학교유형별,초등학교,74.6,25.4
2014,학교유형별,중학교,75.5,24.5
2014,학교유형별,일반/특목/자율고,73.7,26.3
2014,학교유형별,특성화고,74.3,25.7
2014,지역규모별,대도시,76.8,23.2
2014,지역규모별,중소도시,72.3,27.7
2014,지역규모별,읍면지역,75.7,24.3
2014,가족유형별,양부모가정,75,25
2014,가족유형별,한부모가정,68.5,31.5
2014,가족유형별,조손가정,76.4,23.6
2014,가족유형별,기타,69.3,30.7
2014,학업성적별,상,79.7,20.3
2014,학업성적별,중,74.3,25.7
2014,학업성적별,하,69.5,30.5
2014,경제적수준별,상,76.9,23.1
2014,경제적수준별,중,73.1,26.9
2014,경제적수준별,하,72.3,27.7
