"SGG 행정구역별",T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개),T001 사설학원수<br>(A) (14STD03220 개)
"SGG 행정구역별",Y2011 2011,Y2012 2012,Y2013 2013,Y2014 2014,Y2015 2015,Y2016 2016,Y2017 2017,Y2018 2018,Y2019 2019,Y2020 2020,Y2021 2021
"31050 부천시",1321,1323,1226,1185,1267,1260,1257,1260,1251,1267,1256
"31060 광명시",485,482,508,512,519,540,557,565,547,547,527
"31070 평택시",628,617,635,646,647,660,698,705,715,737,745
"31080 동두천시",111,106,105,105,100,96,99,96,98,90,92
"31090 안산시",1134,1122,1065,1065,1062,1014,1025,1005,973,959,922
"31100 고양시",1786,1775,1832,1725,1871,1931,2000,2000,2000,2009,2003
"31110 과천시",62,68,70,70,70,75,75,76,79,76,83
"31120 구리시",355,362,336,341,322,332,343,363,386,384,375
"31130 남양주시",794,802,753,771,809,870,901,918,972,1059,1079
"31140 오산시",242,260,225,225,248,243,254,274,283,290,301
"31150 시흥시",659,646,615,595,574,593,635,686,732,790,811
"31160 군포시",409,403,425,394,400,426,445,444,436,436,424
"31170 의왕시",196,180,176,193,181,185,182,178,175,176,183
"31180 하남시",186,196,181,181,167,173,235,278,317,368,403
"31190 용인시",1544,1588,1591,1641,1690,1712,1778,1875,1924,1968,1921
"31200 파주시",458,419,430,413,452,480,520,573,609,659,662
"31210 이천시",390,382,368,356,363,360,365,379,380,395,390
"31220 안성시",249,254,247,239,1337,226,226,229,233,225,227
"31230 김포시",552,391,421,442,514,559,619,684,762,827,884
"31240 화성시",777,904,822,822,948,1062,1143,1265,1399,1537,1631
"31250 광주시",332,339,319,360,368,372,392,404,408,424,422
"31260 양주시",176,179,197,188,203,226,232,245,257,266,278
"31270 포천시",136,135,134,113,136,148,142,140,132,128,124
"31280 여주시",-,-,-,115,208,114,113,120,111,123,120
"31320 경기 여주군",140,129,125,-,-,-,-,-,-,-,-
"31350 연천군",48,45,40,39,36,40,39,38,36,34,33
"31370 가평군",65,70,6,65,67,62,64,60,55,52,53
"31380 양평군",85,86,83,78,80,76,80,88,91,100,104
"32 강원도",2474,2335,2326,2253,2185,2187,2223,2200,2182,2179,2188
"32010 춘천시",453,457,453,446,442,446,453,444,421,430,440
"32020 원주시",663,581,592,571,571,582,595,603,596,603,614
"32030 강릉시",430,394,414,384,399,406,408,398,405,420,420
"32040 동해시",163,156,161,154,135,125,138,144,145,138,139
"32050 태백시",70,63,53,58,56,52,50,51,51,54,56
"32060 속초시",154,150,148,155,118,123,128,116,126,117,114
"32070 삼척시",96,114,89,80,77,77,74,68,68,67,64
"32310 홍천군",89,88,87,83,83,85,81,81,79,73,74
"32320 횡성군",40,41,47,42,43,45,46,46,45,42,40
"32330 영월군",37,31,32,33,31,28,28,29,34,37,36
"32340 평창군",44,40,40,41,33,36,37,36,34,34,30
"32350 정선군",38,34,30,30,33,32,32,28,25,21,20
"32360 철원군",61,57,58,60,57,53,52,50,52,47,51
"32370 화천군",27,29,27,26,22,20,19,19,18,16,19
"32380 양구군",28,22,21,18,17,16,18,21,23,20,18
"32390 인제군",35,31,33,34,31,23,26,30,28,27,25
"32400 고성군",22,22,18,16,15,17,16,16,13,13,11
"32410 양양군",24,25,23,22,22,21,22,20,19,20,17
"33 충청북도",2435,2393,2365,2350,2338,2320,2298,2249,2230,2232,2268
"33010 충북 청주시",1411,1372,1349,-,-,-,-,-,-,-,-
"33020 충주시",323,339,332,334,322,302,294,291,292,298,297
"33030 제천시",179,177,195,194,194,193,187,188,177,174,170
"33040 청주시",-,-,-,1456,1458,1467,1455,1413,1403,1400,1440
"33310 충북 청원군",146,124,122,-,-,-,-,-,-,-,-
"33320 보은군",31,28,25,31,26,25,24,25,22,21,24
"33330 옥천군",55,50,50,43,41,41,35,31,32,32,30
"33340 영동군",35,35,34,39,41,40,42,44,46,43,46
"33350 진천군",84,81,76,76,85,78,80,87,93,99,98
"33360 괴산군",16,15,15,15,16,15,15,16,14,13,12
"33370 음성군",80,102,99,95,90,92,99,88,84,85,82
"33380 단양군",19,19,18,17,14,13,14,14,15,14,14
"33390 증평군",56,51,50,50,51,54,53,52,52,53,55
"34 충청남도",2944,2738,2684,2732,2758,2782,2883,2961,2923,2939,2926
"34010 천안시",1073,1069,1056,1056,1138,1113,1188,1217,1245,1253,1264
"34020 공주시",169,148,138,143,137,131,133,132,124,121,113
"34030 보령시",137,122,142,121,124,130,131,128,124,122,120
"34040 아산시",334,341,299,359,372,394,398,403,404,413,407
"34050 서산시",262,218,259,253,215,205,229,233,227,230,227
"34060 논산시",137,121,113,113,111,124,130,127,122,119,122
"34070 계룡시",61,59,59,59,60,58,55,54,56,51,53
"34080 당진시",-,186,179,189,187,202,198,204,200,209,215
"34310 금산군",38,32,31,38,40,36,36,35,35,37,36
"34320 충남 연기군",92,-,-,-,-,-,-,-,-,-,-
"34330 부여군",73,75,65,62,59,57,53,50,53,51,51
"34340 서천군",69,63,67,67,60,59,56,54,51,49,45
"34350 청양군",24,25,24,22,21,22,20,20,19,14,12
"34360 홍성군",121,120,108,110,103,117,124,126,136,144,143
"34370 예산군",115,105,96,91,81,85,82,77,75,75,70
"34380 태안군",57,54,48,49,50,49,50,101,52,51,48
"34390 충남 당진군",182,-,-,-,-,-,-,-,-,-,-
"35 전라북도",3956,4005,3933,3989,3975,4040,3971,3938,3865,3853,3875
"35010 전주시",1953,1967,1996,1810,2026,2051,2024,2006,1973,1986,2042
"35020 군산시",528,608,551,543,555,593,573,567,551,546,537
