Code,Year,Sum
23080,2017,682
23060,2016,679
35030,2016,678
11160,2012,677
23060,2017,676
23060,2014,675
31030,2016,675
11160,2011,673
21090,2020,673
11250,2019,672
31030,2013,671
22050,2011,671
35030,2015,671
11160,2014,671
35030,2011,670
11250,2017,669
23060,2015,668
11160,2013,667
32020,2011,663
31030,2011,663
35030,2017,663
31200,2021,662
23060,2018,662
31030,2015,661
31070,2016,660
21090,2019,660
31030,2014,659
31150,2011,659
31200,2020,659
31030,2012,658
35030,2012,657
21090,2017,656
21090,2016,656
11250,2021,654
23060,2019,650
23060,2020,649
23050,2016,649
23060,2021,649
23040,2019,648
31070,2015,647
31150,2012,646
21050,2011,646
31070,2014,646
35030,2018,645
21090,2011,645
11110,2012,645
11140,2018,644
21090,2015,643
36020,2013,641
24050,2011,639
22050,2021,638
11250,2018,638
21090,2018,637
35030,2014,636
31150,2017,635
31070,2013,635
35030,2013,634
35030,2019,628
31070,2011,628
22050,2016,627
22050,2019,625
23080,2016,623
21090,2013,620
31230,2017,619
22050,2020,619
23040,2018,617
22050,2017,617
22050,2012,617
31070,2012,617
24030,2021,616
11140,2017,616
31150,2013,615
32020,2021,614
22050,2013,613
23050,2012,613
21090,2014,612
35030,2020,611
31200,2019,609
35020,2012,608
36020,2014,605
22050,2015,604
32020,2018,603
32020,2020,603
11140,2016,603
24030,2020,599
22050,2018,598
36020,2015,597
22050,2014,597
38100,2021,597
32020,2019,596
31150,2014,595
32020,2017,595
23050,2015,594
35030,2021,594
35020,2016,593
31150,2016,593
11110,2013,593
21050,2020,593
32020,2013,592
36030,2011,585
21050,2021,584
23050,2013,584
24040,2011,583
32020,2016,582
11140,2012,582
32020,2012,581
21050,2016,581
21050,2019,581
21050,2012,581
38100,2020,579
21060,2021,578
11140,2014,577
21050,2017,576
11140,2011,574
31150,2015,574
31200,2018,573
24030,2019,573
36020,2016,573
35020,2017,573
32020,2014,571
32020,2015,571
21050,2015,571
25040,2021,569
23050,2011,568
36010,2013,568
36020,2017,568
35020,2018,567
23040,2017,566
11140,2015,565
31060,2018,565
23080,2014,559
38100,2019,559
31230,2016,559
23080,2012,559
11140,2013,558
31060,2017,557
23080,2013,556
35020,2015,555
23050,2014,554
21060,2020,554
24030,2018,554
11210,2011,554
36030,2017,553
23080,2011,552
31230,2011,552
35020,2019,551
36020,2018,551
35020,2013,551
25040,2020,549
36010,2015,549
21050,2018,548
24050,2012,547
31060,2019,547
31060,2020,547
35020,2020,546
24020,2011,543
35020,2014,543
24030,2017,543
36030,2019,542
31060,2016,540
36030,2020,539
36030,2015,539
35020,2021,537
38100,2018,537
25040,2019,537
24030,2016,537
21050,2014,536
21050,2013,536
21060,2019,536
23080,2015,536
11120,2012,536
36030,2021,535
36030,2012,533
11120,2011,532
25040,2018,532
25040,2017,530
24020,2012,529
35020,2011,528
21100,2011,528
31060,2021,527
21100,2012,525
11120,2019,525
36020,2019,523
24030,2015,523
25040,2016,523
11120,2017,521
11120,2018,521
31200,2017,520
21060,2018,519
31060,2015,519
11120,2020,519
36010,2012,519
36030,2018,518
11120,2015,515
31230,2015,514
36010,2016,514
23040,2016,513
31060,2014,512
21060,2017,510
21100,2013,510
11120,2021,509
36010,2014,508
31060,2013,508
36010,2017,508
24040,2012,504
21060,2016,503
24030,2014,503
36030,2014,502
36020,2020,502
36030,2013,502
25040,2015,500
36020,2021,500
21060,2011,496
23040,2015,496
38100,2017,495
36010,2011,494
26010,2011,492
36010,2018,491
21060,2015,491
11200,2021,487
11120,2013,485
36010,2019,485
31060,2011,485
11080,2012,484
21100,2014,484
36030,2016,483
31060,2012,482
24030,2013,481
31200,2016,480
21060,2014,480
21060,2013,479
11210,2013,478
11190,2011,477
36010,2020,475
21060,2012,472
11210,2012,472
11200,2017,472
21100,2015,472
11200,2020,471
11190,2016,471
11190,2017,470
11120,2016,469
38090,2012,468
11190,2018,467
11080,2013,466
11200,2016,466
11200,2013,465
11200,2019,465
11080,2018,464
21080,2011,464
38100,2016,463
11210,2014,463
25040,2014,462
36010,2021,462
38090,2017,461
23040,2014,461
26010,2018,459
25040,2012,459
31200,2011,458
11190,2012,458
25040,2013,458
11200,2018,458
11080,2017,457
32010,2012,457
11110,2011,456
11210,2016,456
21100,2017,455
38100,2015,455
11210,2017,455
11080,2014,455
26010,2012,453
26010,2019,453
32010,2011,453
32010,2013,453
11080,2016,453
32010,2017,453
26010,2020,452
38090,2015,452
31200,2015,452
26010,2016,451
11080,2021,451
21100,2016,451
11210,2018,450
11050,2012,450
11080,2019,450
11190,2013,450
21080,2012,449
11080,2011,449
38090,2016,449
38090,2018,449
26010,2017,448
11190,2014,448
11190,2015,447
38090,2013,447
25040,2011,446
11210,2015,446
32010,2014,446
11050,2015,446
32010,2016,446
11190,2019,446
31160,2017,445
11190,2020,445
11200,2015,445
26010,2021,444
31160,2018,444
32010,2018,444
11210,2019,443
31230,2014,442
32010,2015,442
11050,2017,442
11200,2014,441
32010,2021,440
21100,2018,440
11190,2021,440
11080,2020,439
11050,2014,438
38090,2019,437
26010,2015,437
23070,2012,437
31160,2019,436
11120,2014,436
31160,2020,436
21080,2013,435
11210,2021,434
11080,2015,433
11170,2017,431
11210,2020,431
38090,2020,430
21100,2019,430
32010,2020,430
31200,2013,430
11050,2018,430
32030,2011,430
38090,2021,429
11050,2016,429
11200,2012,429
11170,2018,427
11050,2011,427
11170,2011,426
38090,2011,426
11050,2021,426
31160,2016,426
31160,2013,425
21080,2015,425
38100,2014,425
31250,2020,424
11200,2011,424
31160,2021,424
23040,2013,424
31250,2021,422
32010,2019,421
31230,2013,421
32030,2020,420
23040,2012,420
32030,2021,420
11050,2013,420
21100,2021,419
23070,2013,419
31200,2012,419
26040,2021,418
21100,2020,418
38100,2013,418
38100,2011,418
32030,2013,414
21080,2016,414
21080,2014,414
31200,2014,413
34040,2020,413
38090,2014,412
11170,2016,411
23070,2014,409
31160,2011,409
22020,2021,408
35310,2014,408
31250,2019,408
21080,2017,408
32030,2017,408
11170,2013,407
21080,2020,407
34040,2021,407
11050,2019,406
23040,2011,406
22310,2021,406
11170,2019,406
32030,2016,406
32030,2019,405
11050,2020,405
21080,2021,404
31250,2018,404
34040,2019,404
34040,2018,403
26010,2013,403
31160,2012,403
31180,2021,403
38100,2012,401
22310,2020,401
21110,2011,401
31160,2015,400
23070,2011,400
23070,2017,400
32030,2015,399
34040,2017,398
37020,2012,398
37020,2011,398
32030,2018,398
22020,2020,398
22020,2019,397
23030,2012,397
21080,2018,396
31210,2020,395
21110,2018,395
11170,2020,394
32030,2012,394
31160,2014,394
21110,2020,394
21110,2021,394
21080,2019,394
34040,2016,394
11170,2012,393
26010,2014,393
11170,2015,393
31250,2017,392
23070,2018,392
21110,2016,392
21110,2019,391
26040,2020,391
31230,2012,391
21110,2017,390
11170,2014,390
31210,2011,390
31210,2021,390
26310,2019,389
26310,2018,388
22310,2019,387
26310,2020,387
11170,2021,386
26310,2012,386
31120,2019,386
23070,2016,385
11100,2014,385
22020,2018,384
32030,2014,384
31120,2020,384
23090,2020,382
31210,2012,382
23030,2018,381
31210,2019,380
23030,2017,380
21110,2013,380
26310,2017,379
31210,2018,379
23070,2019,378
21110,2012,377
26040,2019,377
26310,2011,376
37100,2021,376
21110,2015,376
26310,2021,375
23070,2020,375
31120,2021,375
11100,2016,374
23070,2015,373
22020,2017,372
34040,2015,372
31250,2016,372
26040,2018,372
22310,2018,371
23090,2021,371
26310,2016,370
37100,2020,369
11060,2019,368
21070,2011,368
31210,2013,368
31250,2015,368
31180,2020,368
23090,2019,367
37020,2014,367
11100,2015,366
23030,2013,366
26310,2015,366
31210,2017,365
23070,2021,365
21110,2014,365
37020,2013,363
22020,2012,363
11060,2018,363
31120,2018,363
31210,2015,363
22020,2016,362
31120,2012,362
23030,2015,361
11100,2017,360
31250,2014,360
31210,2016,360
26040,2017,360
11060,2017,360
11060,2021,359
34040,2014,359
37020,2016,358
37020,2017,358
25020,2016,357
22020,2015,357
22020,2013,357
31210,2014,356
26310,2014,356
23030,2016,355
24030,2011,355
11060,2016,355
31120,2011,355
25020,2013,355
11070,2011,354
37100,2019,353
21070,2021,353
11060,2011,352
26040,2011,352
11130,2016,351
21070,2020,350
26040,2012,350
11060,2020,350
25020,2015,349
11060,2015,349
25020,2012,349
37020,2015,349
25020,2018,348
11130,2020,348
26040,2016,348
23030,2014,348
25020,2017,347
26040,2015,346
11130,2019,346
26310,2013,345
11130,2018,345
37020,2018,344
25020,2019,343
37020,2019,343
25020,2011,343
31120,2017,343
11130,2011,343
21070,2012,343
22020,2014,342
11130,2021,342
11130,2017,342
11100,2012,341
31120,2014,341
34040,2012,341
21140,2011,340
21070,2019,340
21140,2012,339
31250,2012,339
33020,2012,339
37020,2021,339
25020,2021,337
22020,2011,336
31120,2013,336
11100,2018,335
34040,2011,334
33020,2014,334
25020,2020,334
37020,2020,333
33020,2013,332
25020,2014,332
31120,2016,332
31250,2011,332
37100,2018,331
11060,2013,331
37100,2017,331
11070,2012,330
11130,2012,330
11060,2014,328
21070,2017,326
21070,2018,325
33020,2011,323
33020,2015,322
31120,2015,322
11070,2013,321
22310,2017,321
21070,2016,321
26040,2014,320
21070,2013,320
11130,2014,319
11130,2013,319
37100,2015,319
31250,2013,319
21070,2015,319
24010,2013,319
37100,2011,318
31180,2019,317
37100,2016,317
21070,2014,317
11100,2019,317
21140,2015,315
26040,2013,315
11060,2012,315
37100,2014,315
24010,2014,314
11040,2018,314
22010,2019,312
24010,2015,312
21140,2013,308
22010,2018,308
24010,2017,307
11070,2016,306
26030,2011,302
21130,2021,302
33020,2016,302
11130,2015,301
31140,2021,301
21130,2020,300
11010,2011,299
24030,2012,299
34040,2013,299
21130,2011,298
33020,2020,298
11070,2015,297
11010,2017,297
33020,2021,297
11100,2020,297
24010,2016,296
22010,2017,295
11040,2017,295
33020,2017,294
21140,2017,294
37100,2013,293
11040,2019,293
22310,2016,293
21140,2016,293
21130,2019,292
33020,2019,292
21130,2014,292
33020,2018,291
21130,2016,291
31140,2020,290
11040,2021,290
22010,2016,289
11040,2020,289
24010,2021,289
11070,2017,288
26030,2015,288
11040,2011,287
26030,2012,287
37100,2012,286
26030,2016,286
11100,2021,285
24010,2020,285
21130,2015,284
24010,2019,284
31140,2019,283
21130,2018,283
21130,2013,282
22010,2021,282
22010,2015,281
11010,2013,280
21130,2012,280
21130,2017,280
25050,2011,279
22310,2011,279
22010,2014,279
11040,2016,279
22010,2020,279
26030,2017,278
31260,2021,278
31180,2018,278
11010,2012,278
11010,2016,278
36060,2014,277
26030,2018,276
26030,2019,276
11070,2019,276
21140,2020,275
21140,2019,275
21140,2018,275
36060,2015,275
11040,2015,275
25050,2012,275
11010,2018,274
31140,2018,274
11040,2012,274
22010,2012,274
22010,2013,274
11010,2014,273
11070,2018,273
22010,2011,272
22310,2014,272
11100,2011,270
21140,2021,269
36060,2011,267
36060,2013,267
31260,2020,266
21140,2014,265
26030,2013,265
36060,2017,264
26030,2021,264
22310,2012,264
22310,2015,264
26030,2020,264
11100,2013,263
25050,2013,263
11040,2013,262
24010,2018,262
11070,2020,262
11040,2014,262
34050,2011,262
25050,2015,261
21310,2021,261
11010,2015,261
25050,2016,261
36060,2016,260
31140,2012,260
21150,2011,259
11010,2019,259
34050,2013,259
26030,2014,258
36060,2020,258
31260,2019,257
22310,2013,257
11070,2021,257
36060,2019,256
25050,2017,255
11090,2011,254
36060,2018,254
11090,2012,254
31220,2012,254
31140,2017,254
34050,2014,253
37040,2019,252
25010,2011,252
21120,2021,251
36060,2012,251
25010,2012,251
31220,2011,249
11090,2013,248
25050,2014,248
31140,2015,248
37040,2018,248
36060,2021,248
31220,2013,247
37040,2017,245
31260,2018,245
25050,2018,244
21150,2012,244
11010,2020,243
37040,2020,243
31140,2016,243
31140,2011,242
38050,2012,242
25010,2013,240
37040,2021,240
31220,2014,239
25050,2019,239
25010,2015,236
38050,2015,236
38050,2011,236
38050,2017,236
37040,2016,235
31180,2017,235
38060,2011,234
11090,2014,234
38050,2014,234
31220,2019,233
34050,2018,233
11090,2016,233
21310,2020,232
31260,2017,232
25050,2020,231
38050,2013,230
34050,2020,230
25010,2014,229
25010,2016,229
31220,2018,229
34050,2017,229
37040,2013,229
37040,2012,228
11180,2011,228
34050,2021,227
11090,2015,227
37040,2015,227
34050,2019,227
11090,2017,227
31220,2021,227
36410,2014,226
31260,2016,226
31220,2016,226
31220,2017,226
21150,2013,226
38060,2012,225
31140,2014,225
31140,2013,225
31220,2020,225
25010,2017,225
37040,2011,225
11180,2019,224
38050,2019,224
38050,2020,223
21120,2020,223
11180,2018,222
25050,2021,222
38050,2018,222
38050,2021,220
37420,2014,220
25010,2021,219
11090,2018,218
34050,2012,218
38060,2013,218
37040,2014,218
11010,2021,217
38050,2016,217
25010,2020,216
38060,2015,216
11180,2017,215
38060,2016,215
21310,2019,215
34080,2021,215
34050,2015,215
11180,2013,214
25010,2018,214
11180,2012,213
11180,2014,212
11180,2020,212
35040,2013,212
25010,2019,211
38060,2014,211
36420,2021,210
11090,2021,210
11180,2016,210
11180,2015,209
11090,2019,209
34080,2020,209
21150,2014,209
11180,2021,208
31280,2015,208
11090,2020,206
38060,2019,206
34050,2016,205
39020,2021,205
38320,2014,204
34080,2018,204
38060,2018,204
38060,2017,204
35040,2015,203
38060,2020,203
31260,2015,203
35040,2011,203
34080,2016,202
21150,2015,202
38060,2021,200
34080,2019,200
34080,2017,198
11070,2014,198
35040,2016,198
37390,2016,197
31260,2013,197
31180,2012,196
31170,2011,196
33030,2013,195
21150,2016,194
33030,2014,194
33030,2015,194
35040,2018,193
35040,2017,193
31170,2014,193
33030,2016,193
21310,2017,193
21310,2018,192
22030,2012,192
21150,2017,191
39020,2020,191
37390,2017,189
34080,2014,189
33030,2018,188
31260,2014,188
36420,2020,188
34080,2015,187
33030,2017,187
31180,2011,186
37060,2012,186
34080,2012,186
21120,2019,185
31170,2016,185
37390,2015,184
31170,2021,183
22030,2013,183
31170,2017,182
34390,2011,182
21310,2016,182
22040,2011,181
31180,2013,181
31180,2014,181
35040,2019,181
21150,2018,181
31170,2015,181
37390,2018,181
37060,2011,180
37390,2011,180
35040,2012,180
31170,2012,180
31260,2012,179
33030,2011,179
34080,2013,179
37060,2015,178
31170,2018,178
21150,2021,177
35040,2020,177
35040,2021,177
33030,2012,177
33030,2019,177
31260,2011,176
22030,2011,176
37390,2014,176
31170,2013,176
37060,2013,176
31170,2020,176
39020,2012,175
31170,2019,175
37060,2017,175
21150,2020,175
11030,2017,175
37060,2016,175
33030,2020,174
38080,2011,174
37390,2012,174
37390,2019,173
37390,2020,173
39020,2019,173
31180,2016,173
37060,2014,173
39020,2011,173
22030,2016,173
37390,2013,172
36420,2019,172
35040,2014,171
38080,2012,171
37390,2021,171
21150,2019,171
39020,2013,171
33030,2021,170
39020,2018,170
36040,2021,169
34020,2011,169
21310,2015,169
37060,2019,169
37060,2020,169
37060,2021,168
39020,2014,167
22030,2015,167
31180,2015,167
37060,2018,167
11030,2012,166
11030,2013,166
22030,2014,166
38080,2015,166
39020,2016,166
39020,2015,166
22030,2017,166
39020,2017,165
11030,2016,165
36040,2020,164
36040,2017,163
11030,2015,163
32040,2011,163
11030,2014,162
24010,2011,161
11030,2011,161
32040,2013,161
36040,2019,161
38080,2013,160
36420,2018,160
24010,2012,159
22030,2018,159
11030,2018,158
38080,2014,158
21120,2018,158
32040,2012,156
32060,2014,155
11030,2019,155
32040,2014,154
32060,2011,154
11030,2020,154
22040,2014,153
23010,2021,152
35050,2012,151
35310,2021,151
32060,2012,150
38080,2016,150
22040,2013,150
22040,2015,149
35310,2020,149
34020,2012,148
31270,2016,148
32060,2013,148
38080,2019,147
33310,2011,146
35050,2011,146
36420,2017,146
32040,2019,145
22030,2019,145
38080,2017,145
34360,2020,144
32040,2018,144
11020,2011,144
34360,2021,143
38080,2020,143
